name,folder,date,bytes,isdir,datenum,maxFreq,meanFreq,minFreq,ctrlength,tempres,veclength
IG_123.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,988,0,737967.657708333,36281.25,20596.4462058212,6187.5,0.106888888888889,0.000111111111111111,962
IG_124.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1143,0,737967.657708333,46968.75,31329.6333824613,7312.5,0.150777777777778,0.000111111111111111,1357
IG_125.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:08,1117,0,737967.657731481,36562.5,21265.7962124821,5062.5,0.233222222222222,0.000111111111111111,2099
IG_126.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,907,0,737967.657708333,39656.25,14667.6747311828,7031.25,0.093,0.000111111111111111,837
IG_127.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1293,0,737967.657708333,52312.5,24407.3654183733,7031.25,0.189888888888889,0.000111111111111111,1709
IG_128.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,905,0,737967.657708333,37125,16280.8098591549,6468.75,0.0788888888888889,0.000111111111111111,710
IG_129.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1200,0,737967.657708333,50062.5,28167.6074289876,7312.5,0.152555555555556,0.000111111111111111,1373
IG_13.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,1628,0,737967.657662037,40359.375,27359.6714564732,15000,0.597333333333333,0.000666666666666667,896
IG_130.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,901,0,737967.657685185,42750,17415.7832278481,8156.25,0.0877777777777778,0.000111111111111111,790
IG_131.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,980,0,737967.657708333,38812.5,17606.1174911661,5343.75,0.0943333333333333,0.000111111111111111,849
IG_132.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:08,1126,0,737967.657731481,54843.75,29481.9722739981,6187.5,0.119222222222222,0.000111111111111111,1073
IG_133.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:08,1476,0,737967.657731481,62718.75,34529.1908037654,5343.75,0.153444444444444,0.000111111111111111,1381
IG_134.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1235,0,737967.657708333,52312.5,33785.5095791457,6187.5,0.176888888888889,0.000111111111111111,1592
IG_135.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1805,0,737967.657708333,54000,24577.7704944349,7875,0.519111111111111,0.000111111111111111,4672
IG_136.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1092,0,737967.657708333,37125,16995.1591786108,5062.5,0.403111111111111,0.000111111111111111,3628
IG_137.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,827,0,737967.657685185,18843.75,8312.10832587287,6187.5,0.372333333333333,0.000111111111111111,3351
IG_138.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:08,1316,0,737967.657731481,44718.75,25206.7284688995,8718.75,0.348333333333333,0.000111111111111111,3135
IG_139.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1954,0,737967.657685185,40500,19972.1701459262,5062.5,0.822333333333333,0.000111111111111111,7401
IG_14.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,1099,0,737967.657662037,25031.25,15582.7141608392,9421.875,0.286,0.000666666666666667,429
IG_140.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1413,0,737967.657685185,50062.5,36266.4167528438,7312.5,0.214888888888889,0.000111111111111111,1934
IG_141.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:08,1625,0,737967.657731481,62437.5,39689.7935779817,5625,0.230111111111111,0.000111111111111111,2071
IG_142.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1248,0,737967.657708333,56531.25,27638.2368995633,8718.75,0.152666666666667,0.000111111111111111,1374
IG_143.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1002,0,737967.657685185,53437.5,17451.0242885182,5062.5,0.113222222222222,0.000111111111111111,1019
IG_144.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,983,0,737967.657685185,39375,16933.4415584416,6187.5,0.0941111111111111,0.000111111111111111,847
IG_145.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1574,0,737967.657708333,70031.25,41111.5606143719,6187.5,0.202555555555556,0.000111111111111111,1823
